"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","Fantrax","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","","1","1","","1.0"
"2","Bijan Robinson","ATL","5","RB1","","3","2","","2.5"
"3","Saquon Barkley","PHI","9","RB2","","2","4","","3.0"
"4","Jahmyr Gibbs","DET","8","RB3","","5","3","","4.0"
"5","Justin Jefferson","MIN","6","WR2","","4","6","","5.0"
"6","CeeDee Lamb","DAL","10","WR3","","6","5","","5.5"
"7","Malik Nabers","NYG","14","WR4","","9","8","","8.5"
"8","Puka Nacua","LAR","8","WR5","","7","11","","9.0"
"9","Amon-Ra St. Brown","DET","8","WR6","","8","10","","9.0"
"10","Ashton Jeanty","LV","8","RB4","","11","9","","10.0"
"11","Christian McCaffrey","SF","14","RB5","","14","7","","10.5"
"12","Derrick Henry","BAL","7","RB6","","10","13","","11.5"
"13","Nico Collins","HOU","6","WR7","","12","14","","13.0"
"14","De'Von Achane","MIA","12","RB7","","16","12","","14.0"
"15","Brian Thomas Jr.","JAC","8","WR8","","13","15","","14.0"
"16","Brock Bowers","LV","8","TE1","","15","20","","17.5"
"17","Bucky Irving","TB","9","RB8","","17","18","","17.5"
"18","Josh Jacobs","GB","5","RB9","","20","16","","18.0"
"19","Drake London","ATL","5","WR9","","18","19","","18.5"
"20","A.J. Brown","PHI","9","WR10","","19","25","","22.0"
"21","Chase Brown","CIN","10","RB10","","28","17","","22.5"
"22","Josh Allen","BUF","7","QB1","","22","23","","22.5"
"23","Jonathan Taylor","IND","11","RB11","","23","22","","22.5"
"24","Lamar Jackson","BAL","7","QB2","","25","21","","23.0"
"25","Trey McBride","ARI","8","TE2","","24","26","","25.0"
"26","Ladd McConkey","LAC","12","WR11","","21","30","","25.5"
"27","Kyren Williams","LAR","8","RB12","","27","24","","25.5"
"28","Tyreek Hill","MIA","12","WR12","","29","27","","28.0"
"29","Jayden Daniels","WAS","12","QB3","","30","29","","29.5"
"30","Jaxon Smith-Njigba","SEA","8","WR13","","26","35","","30.5"
"31","Breece Hall","NYJ","9","RB13","","33","28","","30.5"
"32","Tee Higgins","CIN","10","WR14","","31","36","","33.5"
"33","James Cook","BUF","7","RB14","","35","33","","34.0"
"34","Omarion Hampton","LAC","12","RB15","","39","31","","35.0"
"35","Garrett Wilson","NYJ","9","WR15","","32","39","","35.5"
"36","Joe Burrow","CIN","10","QB4","","43","32","","37.5"
"37","Jalen Hurts","PHI","9","QB5","","40","37","","38.5"
"38","Alvin Kamara","NO","11","RB16","","44","34","","39.0"
"39","George Kittle","SF","14","TE3","","38","40","","39.0"
"40","Marvin Harrison Jr.","ARI","8","WR16","","36","43","","39.5"
"41","Terry McLaurin","WAS","12","WR17","","34","47","","40.5"
"42","Kenneth Walker III","SEA","8","RB17","","45","38","","41.5"
"43","Davante Adams","LAR","8","WR18","","42","42","","42.0"
"44","Mike Evans","TB","9","WR19","","37","48","","42.5"
"45","Chuba Hubbard","CAR","14","RB18","","47","41","","44.0"
"46","DJ Moore","CHI","5","WR20","","48","45","","46.5"
"47","James Conner","ARI","8","RB19","","51","49","","50.0"
"48","DK Metcalf","PIT","5","WR21","","49","51","","50.0"
"49","Courtland Sutton","DEN","12","WR22","","50","50","","50.0"
"50","Rashee Rice","KC","10","WR23","","41","62","","51.5"
"51","TreVeyon Henderson","NE","14","RB20","","63","44","","53.5"
"52","DeVonta Smith","PHI","9","WR24","","54","55","","54.5"
